Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
TMDV,53,0,0.00,0,0.00,49.01,53,0
HYHG,51,0,0.00,0,0.00,62.64,31,20
VFMV,51,0,0.00,0,0.00,96.79,51,0
AFIF,48,0,0.00,0,0.00,9.71,48,0
TILT,44,0,0.00,0,0.00,167.27,44,0
FLQM,42,0,0.00,0,0.00,43.32,42,0
IMLP,39,0,0.00,0,0.00,12.91,39,0
ESHY,36,0,0.00,0,0.00,21.17,36,0
BDEC,35,0,0.00,0,0.00,32.56,35,0
FEBZ,35,0,0.00,0,0.00,26.93,35,0
RESD,34,0,0.00,0,0.00,30.88,34,0
FJUL,33,0,0.00,0,0.00,34.35,33,0
FJUN,31,0,0.00,0,0.00,35.29,31,0
PTEU,31,0,0.00,0,0.00,25.01,31,0
TSJA,30,0,0.00,0,0.00,27.40,30,0
GOAT,26,0,0.00,0,0.00,38.51,26,0
PBTP,26,0,0.00,0,0.00,26.57,26,0
IQM,25,0,0.00,0,0.00,42.25,25,0
PSMR,25,0,0.00,0,0.00,21.12,25,0
CFCV,24,0,0.00,0,0.00,35.69,24,0
IGLD,22,0,0.00,0,0.00,21.13,22,0
ACSI,21,0,0.00,0,0.00,49.33,21,0
FFHG,21,0,0.00,0,0.00,35.15,21,0
SULR,17,0,0.00,0,0.00,29.83,17,0
KWT,14,0,0.00,0,0.00,32.02,14,0
IBHD,13,0,0.00,0,0.00,24.65,13,0
TTAI,13,0,0.00,0,0.00,34.57,13,0
XDAP,13,0,0.00,0,0.00,26.28,13,0
VFLQ,12,0,0.00,0,0.00,110.27,12,0
BMAR,10,0,0.00,0,0.00,32.10,10,0
FDEV,8,0,0.00,0,0.00,28.88,8,0
TAEQ,8,0,0.00,0,0.00,26.91,8,0
IMFL,7,0,0.00,0,0.00,26.56,7,0
ACIO,6,0,0.00,0,0.00,29.55,6,0
MAYZ,5,0,0.00,0,0.00,24.97,5,0
XDQQ,5,0,0.00,0,0.00,25.88,5,0
EMDV,4,0,0.00,0,0.00,60.22,4,0
LQDI,4,0,0.00,0,0.00,29.06,4,0
NULC,4,0,0.00,0,0.00,38.61,4,0
XTAP,4,0,0.00,0,0.00,26.26,4,0
BLDG,3,0,0.00,0,0.00,31.31,3,0
ALTS,2,0,0.00,0,0.00,39.49,2,0
AMER,2,0,0.00,0,0.00,32.77,2,0
AVDR,2,0,0.00,0,0.00,28.58,2,0
BOB,2,0,0.00,0,0.00,25.78,2,0
DALT,2,0,0.00,0,0.00,9.91,2,0
DFVS,2,0,0.00,0,0.00,16.39,2,0
EUDV,2,0,0.00,0,0.00,50.62,2,0
EURZ,2,0,0.00,0,0.00,27.60,2,0
FLBL,2,0,0.00,0,0.00,24.92,2,0
FLHY,2,0,0.00,0,0.00,26.39,2,0
QTAP,2,0,0.00,0,0.00,26.11,2,0
SLT,2,0,0.00,0,0.00,39.60,2,0
XJR,2,0,0.00,0,0.00,39.83,2,0
AGT,1,0,0.00,0,0.00,25.63,1,0
ESGG,1,0,0.00,0,0.00,136.51,1,0
MAAX,1,0,0.00,0,0.00,25.06,1,0
PBND,1,0,0.00,0,0.00,25.75,1,0
PWS,1,0,0.00,0,0.00,32.77,1,0
RDFI,1,0,0.00,0,0.00,29.03,1,0
SFIG,1,0,0.00,0,0.00,51.51,1,0
USEQ,1,0,0.00,0,0.00,36.20,1,0
APRZ,0,0,0.00,0,0.00,0.00,0,0
